,,,,,Trade Reconciliation,,,Payment,,,,,Commission %,,,,
Sr. No,Partner Name,Process,Trx. Type,Product,MMTC Data,Partner Data,Settlement Calc Value ,WE SELL,WE BUY,REDEMPTION,REWARDS,TCS/TDS,WE SELL,WE BUY,REWARDS,Bucket/Category,
1,Paytm,BM,WeSell/ We Buy/Red/Transfer,Gold,E-mail,E-mail,Daily,Partner,Partner,Partner,-,Yes,1.85%,0.30%,-,B2,
2,PhonePe,CEM,WeSell/ We Buy/Red,Gold,SFTP,E-mail,Daily,Partner,Partner,Partner,-,-,1.85%,0.05%,-,B3,
3,Google Pay,BM,WeSell/ We Buy/Red/Rewards,Gold,E-mail,SFTP,-,AXIS(MMTC),Razorpay,AXIS(MMTC),-,-,1.45%,0.20%,-,B5,
4,ABC,BM,WeSell/ We Buy/Red,Gold,E-mail,E-mail,-,Razorpay,Razorpay,Razorpay,-,-,0.75% / 1.55%,-,-,B1,
5,Jupiter,BM,WeSell/ We Buy/Rewards,Gold,E-mail,E-mail,-,Indus(MMTC),Razorpay,-,Partner,-,1.50%,-,1.50%,B1,
6,Payworld,BM,WeSell/ We Buy,Gold,E-mail,E-mail,-,Partner,Razorpay,-,-,-,1.25%,0.10%,-,B1,
7,JosAlukkas,CEM,WeSell/ We Buy,Gold,SFTP,E-mail,Daily,Partner,Razorpay,-,-,Yes,1.40%,-,-,B2,
8,Money Boxx,CEM,WeSell/ We Buy/Red,Gold,SFTP,E-mail,-,Partner,Razorpay,Partner,-,-,1.4%/1.5%,-,-,B1,
9,ABCD,CEM,WeSell/ We Buy/Red,Gold/Silver,SFTP,E-mail,-,Razorpay,Razorpay,Razorpay,-,-,1.50%,-,-,B1,
10,BKS,CEM,WeSell,Gold,SFTP,E-mail,-,Partner,-,-,-,-,1.30%,-,-,B1,
11,Direct Sales,CEM,WeSell/ We Buy,Gold/Silver,SFTP,-,-,Razorpay,Razorpay,Razorpay,-,-,-,-,-,B1,
12,Batuk,CEM,WeSell/ We Buy,Gold/Silver,SFTP,E-mail,-,Razorpay,Razorpay,Razorpay,-,-,0.65%,-,-,B1,
13,Innopay,CEM,WeSell/ We Buy,Gold/Silver,SFTP,E-mail,-,Partner,Partner,Partner,-,-,1.30%,-,-,B1,
14,TCC,CEM,WeSell/ We Buy,Gold/Silver,SFTP,E-mail,-,Partner,Partner,-,-,-,1.50%,-,-,B1,
15,Incred Money,CEM,WeSell/ We Buy,Gold/Silver,SFTP,E-mail,-,Partner,Partner,Partner,-,-,1.50%,-,-,B1,
16,OCL,CEM,WeSell/ We Buy/Red,Gold,SFTP,E-mail,Daily,Partner,Partner,Partner,-,Yes,-,-,-,B4,B2B
17,Fincart,CEM,WeSell/ We Buy,Gold,SFTP,E-mail,-,Razorpay,Razorpay,-,-,-,1.30%,-,-,B1,
18,Koshex,BM,WeSell/ We Buy,Gold,E-mail,E-mail,-,Partner,Razorpay,-,-,-,1.45%,-,-,B1,
19,Nivesh,CEM,WeSell/ We Buy,Gold,SFTP,E-mail,-,Razorpay,Razorpay,-,-,-,0.65%,-,-,B1,
20,Paynav,BM,WeSell/ We Buy,Gold,E-mail,Partner,-,Partner,Partner,Partner,,-,1.40%,-,-,B1,
21,Yourly,CEM,WeSell/ We Buy,Gold/Silver,SFTP,E-mail,-,Partner,Partner,Partner,,-,1.40%,-,-,B1,
21,JustPe,CEM,WeSell/ We Buy,Gold/Silver,SFTP,E-mail,,,,,,,1.40%,-,-,B1,
22,Vittem Money,CEM,WeSell/ We Buy,Gold/Silver,SFTP,E-mail,-,Razorpay,Razorpay,-,-,-,0.75%,-,-,B1,
